date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2025-03-07,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2025-03-07,1,1012.2,1015.2,--,6.3,-3.3,4.8,50,4.7,北西,,,--,--,,,
2025-03-07,2,1012.3,1015.3,--,6.1,-3.8,4.6,49,5.1,北西,,,--,--,,,
2025-03-07,3,1012.6,1015.6,--,5.9,-3.7,4.6,50,3.1,北北西,,,--,--,,10-,20.0
2025-03-07,4,1013.0,1016.0,--,5.5,-3.8,4.6,51,3.1,北北西,,,--,--,,,
2025-03-07,5,1013.3,1016.3,--,5.2,-4.6,4.3,49,3.4,北西,,,--,--,,,
2025-03-07,6,1014.1,1017.1,--,4.9,-4.9,4.2,49,3.4,北北西,,0.00,--,--,,3,40.0
2025-03-07,7,1015.5,1018.5,--,4.9,-4.6,4.3,50,4.4,北西,0.3,0.18,--,--,,,
2025-03-07,8,1016.2,1019.2,--,6.6,-5.4,4.1,42,7.2,北西,1.0,0.94,--,--,,,
2025-03-07,9,1017.0,1020.0,--,8.6,-4.2,4.5,40,6.0,北西,1.0,1.69,--,--,,0+,40.0
2025-03-07,10,1017.0,1020.0,--,9.7,-5.4,4.1,34,4.0,北西,1.0,2.33,--,--,,,
2025-03-07,11,1017.1,1020.1,--,10.1,-5.4,4.1,33,6.6,北西,1.0,2.77,--,--,,,
2025-03-07,12,1016.7,1019.7,--,10.4,-5.2,4.2,33,5.3,北北西,1.0,2.95,--,--,,3,40.0
2025-03-07,13,1016.6,1019.5,--,11.0,-5.9,3.9,30,8.6,北西,1.0,2.93,--,--,,,
2025-03-07,14,1016.6,1019.6,--,10.4,-6.4,3.8,30,6.7,北西,1.0,2.64,--,--,,,
2025-03-07,15,1016.1,1019.1,--,10.3,-6.5,3.8,30,6.0,北西,1.0,2.12,--,--,,0+,40.0
2025-03-07,16,1016.9,1019.9,--,9.5,-7.6,3.4,29,4.2,北北西,1.0,1.44,--,--,,,
2025-03-07,17,1018.2,1021.2,--,8.0,-7.3,3.5,33,3.5,北北西,1.0,0.69,--,--,,,
2025-03-07,18,1019.1,1022.1,--,7.0,-7.8,3.4,34,3.4,北北西,0.4,0.10,--,--,,0+,30.0
2025-03-07,19,1021.1,1024.1,--,5.6,-8.3,3.3,36,4.3,北西,,0.00,--,--,,,
2025-03-07,20,1021.7,1024.7,--,4.8,-8.7,3.2,37,2.7,北北西,,,--,--,,,
2025-03-07,21,1022.4,1025.4,--,4.4,-9.0,3.1,37,3.9,北西,,,--,--,,0+,30.0
2025-03-07,22,1022.9,1025.9,--,3.9,-8.5,3.2,40,3.1,北,,,--,--,,,
2025-03-07,23,1023.3,1026.4,--,3.5,-8.8,3.1,40,2.9,北北東,,,--,--,,,
2025-03-07,24,1023.2,1026.3,--,3.6,-8.7,3.2,40,1.6,北,,,--,--,,,
