date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-04-23,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-04-23,1,1015.1,1019.1,--,15.6,13.5,15.4,87,1.4,西,,,--,--,,,
2018-04-23,2,1015.3,1019.3,--,15.4,13.3,15.2,87,2.1,西,,,--,--,,,
2018-04-23,3,1014.9,1018.9,--,15.4,12.5,14.5,83,0.8,西南西,,,--,--,,10-,8.00
2018-04-23,4,1015.0,1019.0,--,15.1,12.4,14.4,84,3.4,東北東,,,--,--,,,
2018-04-23,5,1015.6,1019.6,--,15.3,12.6,14.6,84,3.3,北東,,,--,--,,,
2018-04-23,6,1015.9,1019.9,--,15.3,12.6,14.6,84,3.5,東,0.0,,--,--,,10-,8.00
2018-04-23,7,1015.9,1019.9,--,16.2,12.2,14.2,77,4.0,東,0.6,,--,--,,,
2018-04-23,8,1016.0,1020.0,--,17.5,11.8,13.8,69,4.6,東北東,1.0,,--,--,,,
2018-04-23,9,1015.8,1019.8,--,18.3,11.4,13.5,64,6.0,東北東,1.0,,--,--,,10-,8.00
2018-04-23,10,1015.4,1019.4,--,17.8,11.8,13.9,68,6.3,東北東,1.0,,--,--,,,
2018-04-23,11,1014.6,1018.6,--,18.6,11.7,13.7,64,6.7,東,1.0,,--,--,,,
2018-04-23,12,1013.6,1017.6,--,19.7,12.0,14.0,61,6.1,東北東,1.0,,--,--,,10-,7.00
2018-04-23,13,1013.2,1017.1,--,20.7,12.2,14.2,58,5.9,東北東,0.9,,--,--,,,
2018-04-23,14,1013.0,1016.9,--,21.5,12.1,14.1,55,5.8,東北東,0.7,,--,--,,,
2018-04-23,15,1012.8,1016.8,--,20.2,12.9,14.9,63,4.5,北,0.6,,--,--,,10-,10.0
2018-04-23,16,1012.4,1016.4,--,19.7,13.2,15.1,66,4.1,北,0.6,,--,--,,,
2018-04-23,17,1012.5,1016.4,--,20.3,12.8,14.8,62,4.1,東,0.0,,--,--,,,
2018-04-23,18,1012.4,1016.4,--,18.5,12.7,14.7,69,7.0,東北東,0.0,,--,--,,10,10.0
2018-04-23,19,1013.0,1017.0,0.0,16.9,12.5,14.4,75,5.7,東北東,0.0,,--,--,,,
2018-04-23,20,1013.5,1017.5,0.0,15.7,12.5,14.4,81,5.7,東北東,,,--,--,,,
2018-04-23,21,1013.4,1017.4,0.0,15.0,12.3,14.3,84,6.1,東北東,,,--,--,,10,5.00
2018-04-23,22,1013.3,1017.3,0.0,15.0,12.1,14.2,83,4.2,東北東,,,--,--,,,
2018-04-23,23,1013.4,1017.4,0.0,14.8,13.0,15.0,89,2.4,東北東,,,--,--,,,
2018-04-23,24,1013.1,1017.1,1.0,14.6,13.2,15.1,91,2.4,東北東,,,--,--,,,
