date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-07-28,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-07-28,1,998.8,1005.2,--,26.4,20.0,23.4,68,1.8,西南西,,,×,×,,,
2018-07-28,2,998.1,1004.5,--,26.5,19.6,22.9,66,1.6,北西,,,×,×,,,
2018-07-28,3,997.6,1004.0,--,26.7,19.3,22.4,64,1.5,北,,,×,×,,10-,15.0
2018-07-28,4,997.1,1003.5,--,26.2,19.6,22.8,67,1.6,北東,,,×,×,,,
2018-07-28,5,997.0,1003.4,--,26.0,19.7,22.9,68,1.5,北東,0.0,0.00,×,×,,,
2018-07-28,6,997.0,1003.4,--,26.1,19.3,22.3,66,1.6,北東,0.0,0.08,×,×,,10,15.0
2018-07-28,7,997.3,1003.7,0.0,26.3,19.5,22.6,66,1.9,東北東,0.0,0.16,×,×,,,
2018-07-28,8,997.7,1004.1,0.0,26.1,20.2,23.7,70,2.2,南東,0.0,0.32,×,×,,,
2018-07-28,9,997.7,1004.1,0.0,25.8,20.4,23.9,72,1.7,南,0.0,0.53,×,×,,10,10.0
2018-07-28,10,997.3,1003.7,0.0,26.8,20.4,24.0,68,1.2,北,0.0,1.14,×,×,,,
2018-07-28,11,996.4,1002.7,--,29.3,19.3,22.4,55,2.7,西北西,0.4,2.22,×,×,,,
2018-07-28,12,995.4,1001.7,--,30.3,19.4,22.5,52,3.7,北西,0.3,2.12,×,×,,10-,15.0
2018-07-28,13,993.8,1000.0,--,33.5,19.2,22.3,43,4.1,北北西,0.8,2.92,×,×,,,
2018-07-28,14,992.4,998.6,--,33.4,18.7,21.6,42,3.2,北北西,0.7,2.76,×,×,,,
2018-07-28,15,990.8,997.0,--,34.4,18.9,21.8,40,5.0,北北西,0.6,1.84,×,×,,10-,15.0
2018-07-28,16,989.5,995.7,--,33.8,21.3,25.3,48,6.6,西北西,0.8,1.85,×,×,,,
2018-07-28,17,987.7,993.9,--,33.1,20.3,23.8,47,7.9,北西,0.1,0.78,×,×,,,
2018-07-28,18,986.8,993.0,0.0,31.3,21.2,25.1,55,7.8,北北西,0.0,0.14,×,×,,10-,15.0
2018-07-28,19,985.9,992.1,0.0,29.8,21.7,26.0,62,7.1,北北西,0.0,0.01,×,×,,,
2018-07-28,20,986.1,992.3,0.0,29.8,20.9,24.8,59,6.4,北北西,,0.00,×,×,,,
2018-07-28,21,985.1,991.3,0.0,29.7,20.3,23.8,57,6.1,北北西,,,×,×,,10-,20.0
2018-07-28,22,985.2,991.4,0.0,29.8,19.8,23.1,55,3.7,北北西,,,×,×,,,
2018-07-28,23,983.9,990.1,0.0,29.8,19.8,23.1,55,5.3,北北西,,,×,×,,,
2018-07-28,24,983.5,989.7,0.0,29.1,20.8,24.6,61,4.8,東北東,,,×,×,,,
