date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2019-06-05,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2019-06-05,1,1008.4,1011.2,--,21.3,17.3,19.8,78,3.9,南,,,×,×,,,
2019-06-05,2,1008.2,1011.0,--,20.9,17.1,19.5,79,2.3,南,,,×,×,,,
2019-06-05,3,1008.1,1010.9,--,20.4,17.4,19.9,83,2.0,南南西,,,×,×,,10-,15.0
2019-06-05,4,1008.4,1011.2,--,20.3,17.5,20.0,84,1.5,南,,0.00,×,×,,,
2019-06-05,5,1008.4,1011.2,--,20.7,17.9,20.5,84,2.7,南,0.0,0.02,×,×,,,
2019-06-05,6,1008.4,1011.2,--,21.4,18.0,20.6,81,2.0,南,0.0,0.20,×,×,,10-,20.0
2019-06-05,7,1008.5,1011.3,--,21.8,18.6,21.4,82,3.2,南,0.0,0.39,×,×,,,
2019-06-05,8,1008.4,1011.2,--,22.4,18.4,21.1,78,1.8,南西,0.0,0.61,×,×,,,
2019-06-05,9,1008.9,1011.7,--,23.0,18.1,20.8,74,1.9,南,0.0,0.79,×,×,,10,20.0
2019-06-05,10,1008.7,1011.5,--,22.9,18.7,21.5,77,2.5,南,0.0,0.57,×,×,,,
2019-06-05,11,1008.4,1011.2,--,24.1,18.5,21.3,71,2.6,南南東,0.0,1.02,×,×,,,
2019-06-05,12,1008.0,1010.8,--,24.4,17.6,20.2,66,2.3,南南西,0.0,1.42,×,×,,10,20.0
2019-06-05,13,1007.2,1010.0,--,25.0,18.2,20.9,66,2.8,南,0.0,1.54,×,×,,,
2019-06-05,14,1006.8,1009.6,--,25.5,17.7,20.2,62,3.7,南,0.0,1.66,×,×,,,
2019-06-05,15,1006.2,1009.0,--,25.2,17.9,20.5,64,3.8,南南東,0.3,1.68,×,×,,10-,20.0
2019-06-05,16,1006.4,1009.2,--,24.7,18.2,20.9,67,5.1,南東,0.4,1.28,×,×,,,
2019-06-05,17,1006.3,1009.1,--,24.7,18.6,21.5,69,4.2,南東,1.0,1.32,×,×,,,
2019-06-05,18,1006.8,1009.6,--,23.4,18.5,21.3,74,3.2,南,0.7,0.54,×,×,,2,20.0
2019-06-05,19,1006.7,1009.5,--,22.6,18.6,21.4,78,3.2,南南東,0.0,0.05,×,×,,,
2019-06-05,20,1007.3,1010.1,--,21.9,18.5,21.3,81,2.8,南南東,,0.00,×,×,,,
2019-06-05,21,1007.7,1010.5,--,21.8,18.4,21.2,81,2.5,南南西,,,×,×,,7,20.0
2019-06-05,22,1007.6,1010.4,--,21.7,18.7,21.6,83,3.2,南南西,,,×,×,,,
2019-06-05,23,1007.0,1009.8,--,21.5,19.1,22.1,86,2.5,南,,,×,×,,,
2019-06-05,24,1007.1,1009.9,--,20.8,19.6,22.8,93,1.6,南,,,×,×,,,
