date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2020-12-02,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2020-12-02,1,1022.9,1028.4,--,3.7,-0.5,5.9,74,1.2,北北東,,,--,--,,,
2020-12-02,2,1022.9,1028.4,--,4.3,-1.1,5.6,68,3.4,北,,,--,--,,,
2020-12-02,3,1023.1,1028.6,--,3.7,-0.5,5.9,74,0.6,南西,,,--,--,,10-,20.0
2020-12-02,4,1023.2,1028.7,--,4.4,-0.4,5.9,71,0.7,西北西,,,--,--,,,
2020-12-02,5,1023.1,1028.6,--,4.5,-0.7,5.8,69,1.6,北,,,--,--,,,
2020-12-02,6,1023.3,1028.8,--,4.8,-1.0,5.7,66,2.3,北北西,,,--,--,,10-,20.0
2020-12-02,7,1023.8,1029.3,--,5.5,-1.0,5.7,63,1.8,北北西,0.2,0.03,--,--,,,
2020-12-02,8,1024.0,1029.5,--,6.5,-0.9,5.7,59,1.1,北,0.1,0.26,--,--,,,
2020-12-02,9,1023.9,1029.4,--,6.3,-0.4,5.9,62,1.8,南南西,0.0,0.48,--,--,,10-,30.0
2020-12-02,10,1023.3,1028.7,--,7.6,-0.4,6.0,57,1.7,南南西,0.8,1.34,--,--,,,
2020-12-02,11,1022.5,1027.9,--,9.9,0.3,6.2,51,2.0,西南西,1.0,1.85,--,--,,,
2020-12-02,12,1021.0,1026.4,--,9.4,-0.8,5.8,49,1.9,北東,0.6,1.20,--,--,,6,30.0
2020-12-02,13,1020.3,1025.7,--,9.6,-1.1,5.6,47,1.4,東北東,0.9,1.50,--,--,,,
2020-12-02,14,1019.5,1024.9,--,10.7,-1.7,5.4,42,3.0,西北西,0.6,0.82,--,--,,,
2020-12-02,15,1019.5,1024.9,--,10.6,-1.8,5.4,42,3.2,西,1.0,1.00,--,--,,6,30.0
2020-12-02,16,1019.6,1025.0,--,9.9,-2.4,5.1,42,2.5,西北西,0.5,0.27,--,--,,,
2020-12-02,17,1019.7,1025.1,--,8.7,-3.5,4.7,42,3.0,北北西,0.0,0.01,--,--,,,
2020-12-02,18,1019.7,1025.1,--,7.6,-2.1,5.2,50,3.0,北北西,,,--,--,,10-,20.0
2020-12-02,19,1019.8,1025.2,--,6.9,-1.5,5.5,55,4.8,北北西,,,--,--,,,
2020-12-02,20,1019.6,1025.0,--,6.6,-1.8,5.4,55,3.3,北北西,,,--,--,,,
2020-12-02,21,1019.1,1024.5,--,6.7,-2.7,5.0,51,2.1,北西,,,--,--,,10-,20.0
2020-12-02,22,1018.9,1024.3,--,6.7,-2.2,5.2,53,1.9,北北西,,,--,--,,,
2020-12-02,23,1018.0,1023.5,--,6.0,-1.9,5.3,57,2.0,北北東,,,--,--,,,
2020-12-02,24,1017.9,1023.4,0.0,5.3,-1.4,5.5,62,2.9,北北東,,,--,--,,,
