date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2021-12-13,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2021-12-13,1,995.4,998.7,0.0,0.7,-0.6,5.9,91,3.1,北,,,1,2,,,
2021-12-13,2,995.5,998.8,0.5,-0.2,-4.3,4.5,74,5.8,西北西,,,--,2,,,
2021-12-13,3,995.8,999.1,0.0,-1.4,-4.2,4.5,81,1.7,北西,,,--,2,,10,5.00
2021-12-13,4,996.5,999.8,0.5,-3.0,-4.4,4.4,90,5.2,西南西,,,1,3,,,
2021-12-13,5,996.5,999.8,1.0,-2.8,-4.8,4.3,86,2.4,北北東,,,2,5,,,
2021-12-13,6,997.2,1000.5,1.0,-3.6,-4.8,4.3,91,2.2,西南西,,,1,6,,10,1.50
2021-12-13,7,997.4,1000.7,0.5,-3.3,-6.1,3.9,81,4.5,西,0.0,0.00,1,7,,,
2021-12-13,8,997.4,1000.7,0.0,-2.6,-7.3,3.5,70,2.4,西,0.2,0.17,--,7,,,
2021-12-13,9,997.4,1000.7,0.0,-2.0,-7.9,3.4,64,7.6,西北西,0.7,0.54,--,6,,8,10.0
2021-12-13,10,997.5,1000.8,0.5,-1.3,-8.3,3.3,59,8.1,西北西,0.5,0.92,--,6,,,
2021-12-13,11,997.6,1000.9,0.0,-0.6,-8.1,3.3,57,8.3,西北西,1.0,1.42,--,5,,,
2021-12-13,12,998.3,1001.6,0.0,-1.2,-6.1,3.9,69,5.7,北西,0.9,1.39,--,5,,5,5.00
2021-12-13,13,998.5,1001.8,0.0,-0.2,-7.7,3.4,57,6.7,西北西,0.8,1.16,--,5,,,
2021-12-13,14,999.5,1002.8,--,-0.3,-8.7,3.2,53,6.8,西北西,1.0,1.13,--,4,,,
2021-12-13,15,1001.0,1004.3,--,-0.7,-8.4,3.3,56,8.6,西北西,0.8,0.52,--,4,,8,12.0
2021-12-13,16,1001.9,1005.2,--,-0.8,-10.2,2.8,49,9.1,西北西,0.5,0.22,--,4,,,
2021-12-13,17,1003.2,1006.5,--,-1.1,-8.8,3.2,56,7.8,西北西,,0.00,--,4,,,
2021-12-13,18,1004.3,1007.6,--,-0.4,-8.6,3.2,54,7.5,西北西,,,--,4,,10,10.0
2021-12-13,19,1005.4,1008.7,--,0.3,-9.7,2.9,47,5.8,西北西,,,--,4,,,
2021-12-13,20,1006.3,1009.6,--,0.2,-9.2,3.0,49,7.4,西北西,,,--,3,,,
2021-12-13,21,1007.7,1011.0,0.0,-0.1,-7.1,3.6,59,7.9,西北西,,,--,3,,10-,10.0
2021-12-13,22,1008.0,1011.3,0.0,0.3,-9.4,3.0,48,5.8,西北西,,,--,3,,,
2021-12-13,23,1009.3,1012.6,--,-0.3,-8.5,3.2,54,4.4,西,,,--,3,,,
2021-12-13,24,1009.7,1013.0,--,-0.6,-5.6,4.0,69,3.3,北西,,,--,3,,,
