date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2025-10-03,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2025-10-03,1,1015.5,1017.2,0.0,24.4,16.2,18.3,60,1.1,南東,,,×,×,,,20.0
2025-10-03,2,1015.7,1017.4,0.5,23.0,17.9,20.5,73,1.6,南東,,,×,×,,,16.8
2025-10-03,3,1015.2,1017.0,0.5,21.5,19.8,23.1,90,1.0,南南東,,,×,×,,,12.7
2025-10-03,4,1015.3,1017.1,0.5,21.5,18.3,21.0,82,1.1,南南東,,,×,×,,,18.8
2025-10-03,5,1016.3,1018.1,1.0,21.1,19.6,22.8,91,0.4,南,,,×,×,,,9.40
2025-10-03,6,1016.8,1018.6,1.5,20.4,18.5,21.3,89,1.6,南西,,0.00,×,×,,,8.88
2025-10-03,7,1017.7,1019.5,2.0,20.1,18.4,21.2,90,1.7,南西,0.0,0.01,×,×,,,8.72
2025-10-03,8,1019.1,1020.9,2.0,19.9,18.0,20.7,89,1.7,西南西,0.0,0.05,×,×,,,8.02
2025-10-03,9,1018.2,1020.0,1.0,19.7,18.0,20.7,90,1.8,南東,0.0,0.12,×,×,,,11.4
2025-10-03,10,1017.1,1018.9,1.0,20.1,17.9,20.5,87,2.4,南東,0.0,0.23,×,×,,,20.0
2025-10-03,11,1016.7,1018.5,0.0,20.9,17.9,20.5,83,1.5,東南東,0.0,0.50,×,×,,,20.0
2025-10-03,12,1015.2,1016.9,0.0,22.0,18.8,21.7,82,2.8,東南東,0.0,0.70,×,×,,,19.6
2025-10-03,13,1014.3,1016.0,0.0,23.1,19.7,22.9,81,3.3,南南東,0.0,0.46,×,×,,,20.0
2025-10-03,14,1013.2,1014.9,0.0,23.9,19.8,23.1,78,4.1,南南東,0.0,0.72,×,×,,,20.0
2025-10-03,15,1012.9,1014.6,0.0,24.6,19.5,22.6,73,4.1,南東,0.0,0.66,×,×,,,20.0
2025-10-03,16,1013.1,1014.8,0.0,24.4,19.7,22.9,75,1.7,東南東,0.0,0.32,×,×,,,20.0
2025-10-03,17,1013.3,1015.0,0.0,25.1,18.3,21.0,66,4.0,南東,0.0,0.17,×,×,,,20.0
2025-10-03,18,1012.7,1014.4,0.0,24.4,18.8,21.7,71,5.8,南東,0.0,0.04,×,×,,,20.0
2025-10-03,19,1012.8,1014.5,0.0,24.9,19.1,22.0,70,5.7,南南東,,0.00,×,×,,,20.0
2025-10-03,20,1013.3,1015.0,0.0,25.2,19.8,23.1,72,3.3,南東,,,×,×,,,20.0
2025-10-03,21,1013.9,1015.6,0.0,24.9,20.4,23.9,76,2.9,南東,,,×,×,,,10.6
2025-10-03,22,1013.8,1015.5,0.5,24.4,20.9,24.8,81,3.1,南東,,,×,×,,,17.0
2025-10-03,23,1013.5,1015.2,0.0,24.7,20.8,24.6,79,3.5,南東,,,×,×,,,16.0
2025-10-03,24,1012.7,1014.4,1.0,24.7,21.2,25.2,81,3.7,南東,,,×,×,,,11.4
