date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2025-10-19,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2025-10-19,1,1017.8,1019.0,0.0,23.2,18.5,21.3,75,2.8,北北西,,,×,×,,,20.0
2025-10-19,2,1018.1,1019.3,--,22.6,18.6,21.4,78,3.0,北北西,,,×,×,,,20.0
2025-10-19,3,1018.1,1019.3,0.0,22.4,18.6,21.4,79,2.9,北,,,×,×,,,20.0
2025-10-19,4,1018.6,1019.9,0.0,20.9,18.3,21.0,85,3.0,北,,,×,×,,,5.02
2025-10-19,5,1019.0,1020.3,0.0,20.5,17.7,20.3,84,4.1,北,,,×,×,,,20.0
2025-10-19,6,1019.6,1020.9,--,20.0,17.6,20.1,86,4.0,北,,0.00,×,×,,,20.0
2025-10-19,7,1020.0,1021.3,--,19.9,17.9,20.5,88,4.3,北,0.0,0.06,×,×,,,20.0
2025-10-19,8,1020.7,1022.0,--,20.5,17.9,20.5,85,3.7,北北東,0.0,0.35,×,×,,,20.0
2025-10-19,9,1020.8,1022.1,--,20.6,18.2,20.9,86,2.6,北北東,0.0,0.31,×,×,,,20.0
2025-10-19,10,1020.2,1021.5,--,22.1,16.6,18.9,71,4.5,東,0.0,0.94,×,×,,,20.0
2025-10-19,11,1019.7,1021.0,--,21.9,16.6,18.9,72,3.1,東,0.0,0.81,×,×,,,20.0
2025-10-19,12,1019.0,1020.3,--,22.1,16.2,18.4,69,3.6,東北東,0.0,0.71,×,×,,,20.0
2025-10-19,13,1018.2,1019.4,--,22.6,16.2,18.4,67,3.6,東北東,0.0,1.24,×,×,,,20.0
2025-10-19,14,1018.1,1019.3,--,22.6,15.7,17.8,65,3.0,東,0.1,1.19,×,×,,,20.0
2025-10-19,15,1018.1,1019.3,--,22.3,16.4,18.6,69,3.0,東北東,0.0,0.51,×,×,,,20.0
2025-10-19,16,1017.9,1019.1,--,22.1,16.6,18.9,71,2.3,東南東,0.0,0.41,×,×,,,20.0
2025-10-19,17,1017.9,1019.2,--,22.0,16.7,19.0,72,2.2,東南東,0.0,0.16,×,×,,,20.0
2025-10-19,18,1018.0,1019.3,--,21.8,17.0,19.3,74,1.3,東,0.0,0.01,×,×,,,20.0
2025-10-19,19,1018.2,1019.5,0.0,21.5,18.1,20.8,81,1.9,南東,,,×,×,,,18.0
2025-10-19,20,1018.9,1020.2,2.5,20.6,18.4,21.1,87,1.0,南東,,,×,×,,,2.69
2025-10-19,21,1019.0,1020.3,2.0,20.0,18.7,21.5,92,1.6,南東,,,×,×,,,17.3
2025-10-19,22,1019.3,1020.6,0.0,19.8,18.6,21.5,93,0.8,南南西,,,×,×,,,15.5
2025-10-19,23,1019.3,1020.6,1.0,19.7,18.9,21.8,95,1.3,南南東,,,×,×,,,17.5
2025-10-19,24,1018.9,1020.2,0.0,19.7,18.9,21.8,95,1.5,南南東,,,×,×,,,11.0
