date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2025-11-13,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2025-11-13,1,1010.2,1020.2,--,12.9,6.9,10.0,67,1.7,北,,,×,×,,,
2025-11-13,2,1009.7,1019.7,--,13.0,6.4,9.6,64,1.9,北,,,×,×,,,
2025-11-13,3,1009.5,1019.5,--,12.9,6.9,10.0,67,2.1,北北西,,,×,×,,,
2025-11-13,4,1009.1,1019.1,--,12.6,7.3,10.2,70,1.4,北北東,,,×,×,,,
2025-11-13,5,1008.8,1018.8,--,12.6,7.5,10.4,71,1.4,北,,,×,×,,,
2025-11-13,6,1009.1,1019.1,--,13.0,7.9,10.6,71,2.0,北,,0.00,×,×,,,
2025-11-13,7,1009.2,1019.2,--,13.2,7.9,10.6,70,2.2,北,0.0,0.01,×,×,,,
2025-11-13,8,1009.7,1019.7,--,13.4,8.1,10.8,70,1.1,北北東,0.0,0.10,×,×,,,
2025-11-13,9,1009.1,1019.1,0.0,13.7,8.5,11.1,71,1.0,北北東,0.0,0.17,×,×,,,
2025-11-13,10,1008.5,1018.4,0.0,14.1,8.7,11.3,70,2.1,北,0.0,0.30,×,×,,,
2025-11-13,11,1007.5,1017.4,--,15.0,9.2,11.6,68,0.5,南,0.0,0.62,×,×,,,
2025-11-13,12,1006.5,1016.3,--,16.2,9.4,11.8,64,1.1,東南東,0.0,0.99,×,×,,,
2025-11-13,13,1005.4,1015.2,--,16.8,9.0,11.5,60,0.8,南,0.0,0.91,×,×,,,
2025-11-13,14,1004.8,1014.6,--,17.0,9.4,11.8,61,0.5,南東,0.0,0.56,×,×,,,
2025-11-13,15,1004.8,1014.6,--,17.2,9.4,11.8,60,0.8,南西,0.0,0.43,×,×,,,
2025-11-13,16,1005.3,1015.1,--,16.8,9.7,12.1,63,0.7,北,0.0,0.21,×,×,,,
2025-11-13,17,1005.4,1015.2,--,16.4,10.1,12.3,66,1.2,北,0.0,0.05,×,×,,,
2025-11-13,18,1005.2,1015.0,--,15.9,10.0,12.3,68,0.9,北東,,0.00,×,×,,,
2025-11-13,19,1005.6,1015.4,--,16.0,10.1,12.4,68,0.6,南東,,,×,×,,,
2025-11-13,20,1005.3,1015.1,--,15.8,9.9,12.2,68,1.3,南,,,×,×,,,
2025-11-13,21,1005.2,1015.1,--,15.2,10.6,12.8,74,1.0,南南東,,,×,×,,,
2025-11-13,22,1005.5,1015.4,--,15.0,10.6,12.8,75,0.9,南,,,×,×,,,
2025-11-13,23,1004.9,1014.8,--,14.1,10.9,13.0,81,0.8,東南東,,,×,×,,,
2025-11-13,24,1005.1,1015.0,--,14.4,11.0,13.1,80,0.5,東南東,,,×,×,,,
