date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2025-11-07,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2025-11-07,1,1015.8,1022.3,--,13.3,7.5,10.4,68,5.6,北北東,,,×,×,,,20.0
2025-11-07,2,1016.4,1022.9,--,13.6,7.4,10.3,66,4.0,北北東,,,×,×,,,20.0
2025-11-07,3,1016.4,1022.9,--,12.7,7.4,10.3,70,2.8,北北東,,,×,×,,,20.0
2025-11-07,4,1016.7,1023.3,--,12.2,7.5,10.4,73,4.4,北,,,×,×,,,20.0
2025-11-07,5,1017.3,1023.9,--,11.7,7.2,10.2,74,2.7,北,,,×,×,,,20.0
2025-11-07,6,1017.6,1024.2,--,11.8,7.3,10.2,74,3.0,北,,,×,×,,,20.0
2025-11-07,7,1018.3,1024.9,--,12.1,7.2,10.2,72,2.8,北北東,0.1,0.03,×,×,,,20.0
2025-11-07,8,1018.9,1025.5,--,12.8,7.7,10.5,71,1.7,北東,1.0,0.43,×,×,,,20.0
2025-11-07,9,1018.6,1025.1,--,14.1,7.4,10.3,64,4.8,北北東,1.0,1.10,×,×,,,20.0
2025-11-07,10,1018.4,1024.8,--,17.0,7.6,10.5,54,3.2,北北東,1.0,1.68,×,×,,,20.0
2025-11-07,11,1018.4,1024.8,--,19.6,7.0,10.0,44,4.5,北,1.0,2.10,×,×,,,20.0
2025-11-07,12,1017.8,1024.2,--,20.6,6.6,9.7,40,3.8,北,1.0,2.33,×,×,,,20.0
2025-11-07,13,1016.7,1023.0,--,21.1,5.5,9.0,36,4.9,北,1.0,2.26,×,×,,,20.0
2025-11-07,14,1016.1,1022.4,--,20.6,4.6,8.5,35,4.1,北東,1.0,2.02,×,×,,,20.0
2025-11-07,15,1015.9,1022.2,--,20.9,5.3,8.9,36,3.5,北東,1.0,1.55,×,×,,,20.0
2025-11-07,16,1015.8,1022.1,--,20.8,5.6,9.1,37,2.7,北東,1.0,0.93,×,×,,,20.0
2025-11-07,17,1016.4,1022.8,--,20.0,5.7,9.1,39,3.8,北北東,0.8,0.30,×,×,,,20.0
2025-11-07,18,1016.5,1022.9,--,18.8,6.6,9.8,45,3.1,北北東,0.0,0.01,×,×,,,20.0
2025-11-07,19,1017.4,1023.8,--,17.5,7.3,10.2,51,3.3,北,,,×,×,,,20.0
2025-11-07,20,1017.8,1024.3,--,16.4,6.8,9.9,53,6.4,北北東,,,×,×,,,20.0
2025-11-07,21,1018.4,1024.9,--,15.5,5.7,9.2,52,5.6,北北東,,,×,×,,,20.0
2025-11-07,22,1018.7,1025.2,--,14.9,4.9,8.6,51,5.5,北北東,,,×,×,,,20.0
2025-11-07,23,1019.1,1025.6,--,14.2,4.8,8.6,53,5.4,北北東,,,×,×,,,20.0
2025-11-07,24,1019.1,1025.6,--,14.2,4.8,8.6,53,4.0,北北東,,,×,×,,,20.0
